health_post,hp_name,lon,lat
HP040594-02,Meta Walkite 2 Health Post,38.17994,9.59786
HP040594-03,Meta Walkite 3 Health Post,38.17932,9.62786
HP040603-01,Hidabu Abote 1 Health Post,38.45703,9.95409
HP040603-02,Hidabu Abote 2 Health Post,38.50233,9.83118
HP040603-03,Hidabu Abote 3 Health Post,38.56035,10.02618
HP040613-01,Fiche town 1 Health Post,38.73853,9.78779
HP040613-02,Fiche town 2 Health Post,38.72949,9.79995
HP040613-03,Fiche town 3 Health Post,38.73958,9.7746
HP040613-04,Fiche town 4 Health Post,38.74271,9.79298
HP040613-05,Fiche town 5 Health Post,38.75284,9.77476
HP040613-06,Fiche town 6 Health Post,38.73944,9.78784
HP040617-01,Aleltu 1 Health Post,39.15638,9.31367
HP040617-02,Aleltu 2 Health Post,39.06052,9.21799
HP040617-03,Aleltu 3 Health Post,39.04747,9.33559
HP040622-01,Mulo 1 Health Post,38.59523,9.36209
HP040622-02,Mulo 2 Health Post,38.52269,9.29433
HP040622-03,Mulo 3 Health Post,38.57431,9.24954
HP040622-04,Mulo 4 Health Post,9.26781,38.65136
HP040622-05,Mulo 5 Health Post,38.61994,9.33337
HP040622-06,Mulo 6 Health Post,38.48708,9.26817
HP040622-07,Mulo 7 Health Post,38.50874,9.27829
HP040703-01,Adama 1 Health Post,39.22284,8.33421
HP040703-02,Adama 2 Health Post,39.16927,8.3778
HP040703-03,Adama 3 Health Post,39.1522,8.34102
HP040703-04,Adama 4 Health Post,39.12336,8.3732
HP040703-05,Adama 5 Health Post,39.31874,8.65123
HP040703-06,Adama 6 Health Post,39.2129,8.32417
HP040704-01,Lome (OR) 1 Health Post,39.2443,8.78825
HP040704-02,Lome (OR) 2 Health Post,39.18429,8.78225
HP040704-03,Lome (OR) 3 Health Post,39.22037,8.60655
HP040704-04,Lome (OR) 4 Health Post,39.17049,8.71348
HP040708-01,Adama Tulu Jido Kombolcha 1 Health Post,38.47416,7.73685
HP040708-02,Adama Tulu Jido Kombolcha 2 Health Post,38.5985,7.69635
HP040708-03,Adama Tulu Jido Kombolcha 3 Health Post,38.76001,7.82086
HP040708-04,Adama Tulu Jido Kombolcha 4 Health Post,38.78963,7.76907
HP040710-01,Bora (OR) 1 Health Post,38.93195,8.40592
HP040710-02,Bora (OR) 2 Health Post,38.93701,8.1582
HP040710-03,Bora (OR) 3 Health Post,39.05762,8.36106
HP040710-04,Bora (OR) 4 Health Post,38.9764,8.2268
HP040710-05,Bora (OR) 5 Health Post,38.97995,8.3061
HP040710-06,Bora (OR) 6 Health Post,38.88896,8.3477
HP040802-01,Aseko 1 Health Post,40.01243,8.48624
HP040802-02,Aseko 2 Health Post,40.12654,8.60643
HP040802-03,Aseko 3 Health Post,39.99161,8.54834
HP040802-04,Aseko 4 Health Post,40.03176,8.56745
HP040802-05,Aseko 5 Health Post,40.01723,8.59589
HP040802-06,Aseko 6 Health Post,40.04435,8.41172
HP040802-07,Aseko 7 Health Post,39.98975,8.41993
HP040805-01,Dodota 1 Health Post,39.40108,8.28635
HP040805-02,Dodota 2 Health Post,39.1355,8.28149
HP040805-03,Dodota 3 Health Post,39.09588,8.32622
HP040805-04,Dodota 4 Health Post,39.32581,8.21882
HP040805-05,Dodota 5 Health Post,39.34648,8.21326
HP040805-06,Dodota 6 Health Post,39.29914,8.3543
HP040805-07,Dodota 7 Health Post,39.28086,8.25877
HP040902-01,Doba 1 Health Post,41.02586,9.30372
HP040902-02,Doba 2 Health Post,41.22276,9.34693
HP040902-03,Doba 3 Health Post,41.21598,9.29388
HP040902-04,Doba 4 Health Post,41.17687,9.37926
HP040902-05,Doba 5 Health Post,41.12859,9.35286
HP040902-06,Doba 6 Health Post,41.14288,9.41231
HP040909-01,Daro Lebu 1 Health Post,40.58334,8.47821
HP040909-02,Daro Lebu 2 Health Post,40.53518,8.33032
HP040909-03,Daro Lebu 3 Health Post,40.37145,8.34839
HP040913-01,Chiro Zuria 1 Health Post,40.85475,9.01042
HP040913-02,Chiro Zuria 2 Health Post,40.84928,9.02696
HP040913-03,Chiro Zuria 3 Health Post,40.68321,9.01727
HP040913-04,Chiro Zuria 4 Health Post,41.04976,9.0478
HP040913-05,Chiro Zuria 5 Health Post,40.94661,9.14509
HP040913-06,Chiro Zuria 6 Health Post,41.09221,9.02703
HP040998-01,Burqua Dhintu 1 Health Post,41.14043,8.2339
HP040998-02,Burqua Dhintu 2 Health Post,40.8989,8.40097
HP040998-03,Burqua Dhintu 3 Health Post,41.01532,8.49073
HP041004-01,Babile (OR) 1 Health Post,42.80301,8.7656
HP041004-02,Babile (OR) 2 Health Post,42.29543,9.19908
HP041004-03,Babile (OR) 3 Health Post,42.70691,8.83094
HP041004-04,Babile (OR) 4 Health Post,42.67046,8.76971
HP041004-05,Babile (OR) 5 Health Post,42.64434,8.57022
HP041004-06,Babile (OR) 6 Health Post,42.68312,8.2201
HP041004-07,Babile (OR) 7 Health Post,42.26491,9.08569
HP041006-01,Haro Maya 1 Health Post,41.92196,9.29669
HP041006-02,Haro Maya 2 Health Post,42.00302,9.13947
HP041006-03,Haro Maya 3 Health Post,41.92646,9.36873
HP041006-04,Haro Maya 4 Health Post,42.01188,9.2835
HP041006-05,Haro Maya 5 Health Post,41.96666,9.23082
HP041006-06,Haro Maya 6 Health Post,41.99121,9.21441
HP041015-01,Chinaksen 1 Health Post,42.41846,9.70188
HP041015-02,Chinaksen 2 Health Post,42.73538,9.71014
HP041015-03,Chinaksen 3 Health Post,42.65369,9.66083
HP041015-04,Chinaksen 4 Health Post,42.6883,9.75306
HP041015-05,Chinaksen 5 Health Post,42.42271,9.69224
HP041015-06,Chinaksen 6 Health Post,42.74055,9.59768
HP041015-07,Chinaksen 7 Health Post,42.53698,9.40602
HP041017-01,Golo Oda 1 Health Post,41.36672,8.41296
HP041017-02,Golo Oda 2 Health Post,41.40951,8.34384
HP041017-03,Golo Oda 3 Health Post,41.66057,8.83736
HP041110-01,Goba (OR) 1 Health Post,40.08799,7.01761
HP041110-02,Goba (OR) 2 Health Post,39.95654,6.9561
HP041110-03,Goba (OR) 3 Health Post,40.12895,6.95088
HP041110-04,Goba (OR) 4 Health Post,40.16069,6.90318
HP041110-05,Goba (OR) 5 Health Post,39.95834,6.75632
HP041110-06,Goba (OR) 6 Health Post,39.97802,6.77262
HP041111-01,Harena Buluk 1 Health Post,39.56408,6.6729
HP041111-02,Harena Buluk 2 Health Post,39.53568,6.30132
HP041111-03,Harena Buluk 3 Health Post,39.62494,6.55289
HP041111-04,Harena Buluk 4 Health Post,39.54471,6.37237
HP041111-05,Harena Buluk 5 Health Post,39.56768,6.52243
HP041111-06,Harena Buluk 6 Health Post,39.34259,6.44251
HP041111-07,Harena Buluk 7 Health Post,39.43367,6.35299
HP041120-01,Goba town 1 Health Post,39.98039,7.04473
HP041120-02,Goba town 2 Health Post,39.97438,6.99364
HP041120-03,Goba town 3 Health Post,39.992,7.04237
HP041120-04,Goba town 4 Health Post,39.97535,7.05291
HP041120-05,Goba town 5 Health Post,39.96864,7.03328
HP041120-06,Goba town 6 Health Post,39.95765,7.00527
HP041211-01,Dire 1 Health Post,38.39554,3.96684
HP041211-02,Dire 2 Health Post,38.21363,3.6732
HP041211-03,Dire 3 Health Post,38.33594,3.7582
HP041211-04,Dire 4 Health Post,4.26513,38.14522
HP041211-05,Dire 5 Health Post,38.08938,4.20949
HP041290-01,Guchi 1 Health Post,38.97097,3.78796
HP041290-02,Guchi 2 Health Post,38.78706,3.96258
HP041290-03,Guchi 3 Health Post,38.98934,3.81552
HP041290-04,Guchi 4 Health Post,38.96536,3.87319
HP041290-05,Guchi 5 Health Post,39.1588,3.87283
HP041290-06,Guchi 6 Health Post,39.25899,3.92205
HP041290-07,Guchi 7 Health Post,38.84273,3.90252
HP041291-01,Dubluk 1 Health Post,37.90387,4.57857
HP041291-02,Dubluk 2 Health Post,38.04712,4.4453
HP041291-03,Dubluk 3 Health Post,38.04609,4.47103
HP041291-04,Dubluk 4 Health Post,38.27049,4.38381
HP041304-01,Dawo 1 Health Post,38.10309,8.81529
HP041304-02,Dawo 2 Health Post,38.15755,8.85143
HP041304-03,Dawo 3 Health Post,38.16017,8.83009
HP041304-04,Dawo 4 Health Post,38.06992,8.71573
HP041307-01,Kersana Malima 1 Health Post,38.47521,8.46149
HP041307-02,Kersana Malima 2 Health Post,38.5304,8.58693
HP041307-03,Kersana Malima 3 Health Post,38.41587,8.42951
HP041307-04,Kersana Malima 4 Health Post,38.43988,8.39376
HP041309-01,Becho (SW Shewa) 1 Health Post,38.25851,8.64238
HP041309-02,Becho (SW Shewa) 2 Health Post,38.20224,8.65684
HP041309-03,Becho (SW Shewa) 3 Health Post,38.26227,8.68789
HP041309-04,Becho (SW Shewa) 4 Health Post,38.20332,8.70173
HP041309-05,Becho (SW Shewa) 5 Health Post,38.2967,8.69888
HP041309-06,Becho (SW Shewa) 6 Health Post,38.31608,8.72687
HP041314-01,Sodo Daci 1 Health Post,38.72418,8.43316
HP041314-02,Sodo Daci 2 Health Post,38.63006,8.54407
HP041314-03,Sodo Daci 3 Health Post,38.56642,8.48829
HP041314-04,Sodo Daci 4 Health Post,38.6826,8.44806
HP041404-01,Wadera 1 Health Post,39.26905,5.74138
HP041404-02,Wadera 2 Health Post,39.4395,5.8847
HP041404-03,Wadera 3 Health Post,39.31861,5.75435
HP041408-01,Dama 1 Health Post,38.52639,6.24842
HP041408-02,Dama 2 Health Post,38.45683,6.28972
HP041408-03,Dama 3 Health Post,38.45649,6.23498
HP041408-04,Dama 4 Health Post,38.49842,6.32526
HP041411-01,Ana Sora 1 Health Post,38.81313,6.30829
HP041411-02,Ana Sora 2 Health Post,38.76871,6.29231
HP041411-03,Ana Sora 3 Health Post,38.8319,6.30479
HP041411-04,Ana Sora 4 Health Post,38.8545,6.20943
HP041501-01,Bule Hora 1 Health Post,38.35062,5.7493
HP041501-02,Bule Hora 2 Health Post,38.33757,5.59952
HP041501-03,Bule Hora 3 Health Post,38.25434,5.73116
HP041603-01,Chora (Buno Bedele) 1 Health Post,36.07849,8.40682
HP041603-02,Chora (Buno Bedele) 2 Health Post,36.19461,8.23694
HP041603-03,Chora (Buno Bedele) 3 Health Post,36.10813,8.44025
HP041603-04,Chora (Buno Bedele) 4 Health Post,36.13628,8.38948
HP041603-05,Chora (Buno Bedele) 5 Health Post,36.12005,8.38848
HP041603-06,Chora (Buno Bedele) 6 Health Post,36.09453,8.36985
HP041607-01,Borecha 1 Health Post,36.5464,8.3488
HP041607-02,Borecha 2 Health Post,36.6358,8.45567
HP041607-03,Borecha 3 Health Post,36.63379,8.41988
HP041607-04,Borecha 4 Health Post,36.53511,8.24903
HP041607-05,Borecha 5 Health Post,36.65948,8.31775
HP041607-06,Borecha 6 Health Post,36.60486,8.26908
HP041700-01,Dodola town 1 Health Post,39.17261,6.97368
HP041700-02,Dodola town 2 Health Post,39.18724,6.97504
HP041700-03,Dodola town 3 Health Post,39.1708,6.98965
HP041700-04,Dodola town 4 Health Post,39.17052,6.97782
HP041700-05,Dodola town 5 Health Post,39.19458,6.98013
HP041700-06,Dodola town 6 Health Post,39.18422,6.98591
HP041712-01,Shashemene 1 Health Post,38.42516,7.21706
HP041712-02,Shashemene 2 Health Post,38.66671,7.1222
HP041712-03,Shashemene 3 Health Post,38.5427,7.30357
HP041712-04,Shashemene 4 Health Post,38.47576,7.24496
HP041712-05,Shashemene 5 Health Post,38.67693,7.13958
HP041712-06,Shashemene 6 Health Post,38.53271,7.33605
HP041712-07,Shashemene 7 Health Post,38.62959,7.13587
HP041804-01,Gawo Kebe 1 Health Post,34.90768,9.16374
HP041804-02,Gawo Kebe 2 Health Post,34.93407,9.28177
HP041804-03,Gawo Kebe 3 Health Post,34.9326,8.97116
HP041804-04,Gawo Kebe 4 Health Post,34.85412,9.1851
HP041804-05,Gawo Kebe 5 Health Post,34.92699,9.34803
HP041804-06,Gawo Kebe 6 Health Post,34.9079,9.18833
HP041806-01,Denbi Dollo town 1 Health Post,34.78656,8.53418
HP041806-02,Denbi Dollo town 2 Health Post,34.80898,8.55123
HP041806-03,Denbi Dollo town 3 Health Post,34.80433,8.51691
HP041806-04,Denbi Dollo town 4 Health Post,34.797110000000004,8.52016
HP041810-01,Jimma Horo 1 Health Post,34.70798,8.93206
HP041810-02,Jimma Horo 2 Health Post,34.78276,8.95809
HP041810-03,Jimma Horo 3 Health Post,34.76146,9.00867
HP041810-04,Jimma Horo 4 Health Post,34.71734,8.95359
HP041810-05,Jimma Horo 5 Health Post,34.77786,9.10941
HP041810-06,Jimma Horo 6 Health Post,34.73315,9.01247
HP041810-07,Jimma Horo 7 Health Post,34.79235,8.94924
HP042104-01,Rayitu 1 Health Post,41.45818,6.65756
HP042104-02,Rayitu 2 Health Post,41.78749,6.56895
HP042104-03,Rayitu 3 Health Post,41.85863,6.57025
HP042104-04,Rayitu 4 Health Post,41.13383,6.81208
HP042104-05,Rayitu 5 Health Post,41.08654,7.05073
HP042104-06,Rayitu 6 Health Post,41.25568,6.95347
HP042104-07,Rayitu 7 Health Post,41.5955,7.15931
HP042206-01,Gumi Idalo 1 Health Post,39.32287,4.97583
HP042206-02,Gumi Idalo 2 Health Post,39.79124,5.06196
HP042206-03,Gumi Idalo 3 Health Post,39.53577,5.06976
