zone_pcode,date,n_pixels,rain_mm,rain_lta_mm,rain_anom_pct
ET0401,2022-04-01,793,91.2,77.1,118.3
ET0401,2022-05-01,793,233.9,223.9,104.5
ET0401,2022-06-01,793,346,256.1,135.1
ET0401,2022-07-01,793,266.8,250.6,106.4
ET0401,2022-08-01,793,259,266.4,97.2
ET0401,2022-09-01,793,254.6,244.9,104
ET0401,2022-10-01,793,153.6,128.8,119.2
ET0401,2022-11-01,793,34.5,34.3,100.7
ET0401,2022-12-01,793,14.2,7.3,194
ET0401,2023-01-01,793,7,5.4,129
ET0401,2023-02-01,793,4.5,8,56.7
ET0401,2023-03-01,793,28.2,31.7,88.9
ET0401,2023-04-01,793,105.9,77.1,137.4
ET0401,2023-05-01,793,177.8,223.9,79.4
ET0401,2023-06-01,793,302,256.1,117.9
ET0401,2023-07-01,793,289.5,250.6,115.5
ET0401,2023-08-01,793,230.9,266.4,86.7
ET0401,2023-09-01,793,319.1,244.9,130.3
ET0401,2023-10-01,793,200.4,128.8,155.6
ET0401,2023-11-01,793,127,34.3,370.1
ET0401,2023-12-01,793,9.4,7.3,128.5
ET0401,2024-01-01,793,4.9,5.4,90
ET0401,2024-02-01,793,12.9,8,161.4
ET0401,2024-03-01,793,39,31.7,122.9
ET0401,2024-04-01,793,53.5,77.1,69.4
ET0401,2024-05-01,793,158.5,223.9,70.8
ET0401,2024-06-01,793,276.2,256.1,107.8
ET0401,2024-07-01,793,224.8,250.6,89.7
ET0401,2024-08-01,793,231.6,266.4,87
ET0401,2024-09-01,793,222,244.9,90.7
ET0401,2024-10-01,793,177.5,128.8,137.8
ET0401,2024-11-01,793,63.2,34.3,184.2
ET0401,2024-12-01,793,4.8,7.3,66
ET0402,2019-01-01,724,4.5,7.8,57.8
ET0402,2019-02-01,724,23.7,12.1,195.7
ET0402,2019-03-01,724,61.6,47.6,129.2
ET0402,2019-04-01,724,95,70.5,134.7
ET0402,2019-05-01,724,135.6,188.6,71.9
ET0402,2019-06-01,724,276.2,258.4,106.9
ET0402,2019-07-01,724,308.3,306.2,100.7
ET0402,2019-08-01,724,298.5,292.8,101.9
ET0402,2019-09-01,724,236.8,228.9,103.4
ET0402,2019-10-01,724,186.3,108.4,171.9
ET0402,2019-11-01,724,81.5,31.6,258.2
ET0402,2019-12-01,724,15.9,12.4,128.5
ET0402,2020-01-01,724,8.1,7.8,103.5
ET0402,2020-02-01,724,12.3,12.1,101.3
ET0402,2020-03-01,724,44.6,47.6,93.6
ET0402,2020-04-01,724,82.4,70.5,116.9
ET0402,2020-05-01,724,176.1,188.6,93.3
ET0402,2020-06-01,724,241.6,258.4,93.5
ET0402,2020-07-01,724,337.8,306.2,110.3
ET0402,2020-08-01,724,334,292.8,114.1
ET0402,2020-09-01,724,278,228.9,121.4
ET0402,2020-10-01,724,94.5,108.4,87.2
ET0402,2020-11-01,724,18.9,31.6,60
ET0402,2020-12-01,724,9.2,12.4,74.6
ET0402,2021-01-01,724,6.9,7.8,88.5
ET0402,2021-02-01,724,13.6,12.1,111.9
ET0402,2021-03-01,724,23.2,47.6,48.8
ET0402,2021-04-01,724,83.2,70.5,118
ET0402,2021-05-01,724,226.5,188.6,120.1
ET0402,2021-06-01,724,222.2,258.4,86
ET0402,2021-07-01,724,334.5,306.2,109.2
ET0402,2021-08-01,724,274.9,292.8,93.9
ET0402,2021-09-01,724,225.5,228.9,98.5
ET0402,2021-10-01,724,147.7,108.4,136.3
ET0402,2021-11-01,724,38.9,31.6,123.1
ET0402,2021-12-01,724,NA,12.4,NA
ET0402,2022-01-01,724,15.1,7.8,193
ET0402,2022-02-01,724,10.1,12.1,83.3
ET0402,2022-03-01,724,37.4,47.6,78.5
ET0402,2022-04-01,724,77.6,70.5,110
ET0402,2022-05-01,724,171.7,188.6,91
ET0402,2022-06-01,724,281.9,258.4,109.1
ET0402,2022-07-01,724,296.9,306.2,96.9
ET0402,2022-08-01,724,284.2,292.8,97
ET0402,2022-09-01,724,224.4,228.9,98
ET0402,2022-10-01,724,148.6,108.4,137.1
ET0402,2022-11-01,724,41.6,31.6,131.7
ET0402,2022-12-01,724,14.4,12.4,116.3
ET0402,2023-01-01,724,6.2,7.8,79.5
ET0402,2023-02-01,724,7.8,12.1,64.2
ET0402,2023-03-01,724,58,47.6,121.8
ET0402,2023-04-01,724,107.3,70.5,152.2
ET0402,2023-05-01,724,170.5,188.6,90.4
ET0402,2023-06-01,724,282,258.4,109.1
ET0402,2023-07-01,724,339.2,306.2,110.8
ET0402,2023-08-01,724,280.4,292.8,95.7
ET0402,2023-09-01,724,268.6,228.9,117.3
ET0402,2023-10-01,724,129.8,108.4,119.8
ET0402,2023-11-01,724,72.3,31.6,229.1
ET0402,2023-12-01,724,7.9,12.4,64.1
ET0402,2024-01-01,724,11.4,7.8,146.4
ET0402,2024-02-01,724,20.9,12.1,172.4
ET0402,2024-03-01,724,43.8,47.6,91.9
ET0402,2024-04-01,724,47,70.5,66.7
ET0402,2024-05-01,724,175.8,188.6,93.2
ET0402,2024-06-01,724,243.8,258.4,94.4
ET0402,2024-07-01,724,308.9,306.2,100.9
ET0402,2024-08-01,724,283.7,292.8,96.9
ET0402,2024-09-01,724,214.2,228.9,93.6
ET0402,2024-10-01,724,178.5,108.4,164.7
ET0402,2024-11-01,724,57.2,31.6,181.2
ET0402,2024-12-01,724,7.3,12.4,59.2
ET0403,2019-01-01,544,8,20.8,38.5
ET0403,2019-02-01,544,33.3,23.7,140.4
ET0403,2019-03-01,544,97,66.2,146.6
ET0403,2019-04-01,544,155.8,106.4,146.4
ET0403,2019-05-01,544,159.4,226.5,70.4
ET0403,2019-06-01,544,314.7,255.1,123.3
ET0403,2019-07-01,544,304.5,264.9,114.9
ET0403,2019-08-01,544,306.9,277,110.8
ET0403,2019-09-01,544,274.9,249.5,110.2
ET0403,2019-10-01,544,243,160,151.8
ET0403,2019-11-01,544,82.1,52.3,157.1
ET0403,2019-12-01,544,48.3,23.8,203.3
ET0403,2020-01-01,544,16.2,20.8,78
ET0403,2020-02-01,544,28.1,23.7,118.4
ET0403,2020-03-01,544,72.6,66.2,109.7
ET0403,2020-04-01,544,109.8,106.4,103.2
ET0403,2020-05-01,544,210.4,226.5,92.9
ET0403,2020-06-01,544,239.3,255.1,93.8
ET0403,2020-07-01,544,273.8,264.9,103.3
ET0403,2020-08-01,544,NA,277,NA
ET0403,2020-09-01,544,335.7,249.5,134.6
ET0403,2020-10-01,544,168.4,160,105.3
ET0403,2020-11-01,544,36.8,52.3,70.4
ET0403,2020-12-01,544,19.3,23.8,81.3
ET0403,2021-01-01,544,17.9,20.8,86
ET0403,2021-02-01,544,20.4,23.7,86.2
ET0403,2021-03-01,544,81.6,66.2,123.3
ET0403,2021-04-01,544,94.2,106.4,88.5
ET0403,2021-05-01,544,248.3,226.5,109.7
ET0403,2021-06-01,544,296.5,255.1,116.2
ET0403,2021-07-01,544,248.3,264.9,93.7
ET0403,2021-08-01,544,NA,277,NA
ET0403,2021-09-01,544,315.9,249.5,126.6
ET0403,2021-10-01,544,152.1,160,95
ET0403,2021-11-01,544,59.2,52.3,113.4
ET0403,2021-12-01,544,39.9,23.8,167.9
ET0403,2022-01-01,544,26.9,20.8,129.1
ET0403,2022-02-01,544,23.4,23.7,98.6
ET0403,2022-03-01,544,50.8,66.2,76.8
ET0403,2022-04-01,544,145.1,106.4,136.4
ET0403,2022-05-01,544,212.3,226.5,93.8
ET0403,2022-06-01,544,301.3,255.1,118.1
ET0403,2022-07-01,544,254.2,264.9,95.9
ET0403,2022-08-01,544,292.4,277,105.6
ET0403,2022-09-01,544,262.6,249.5,105.3
ET0403,2022-10-01,544,217,160,135.6
ET0403,2022-11-01,544,50.4,52.3,96.4
ET0403,2022-12-01,544,38.8,23.8,163.5
ET0403,2023-01-01,544,18.6,20.8,89.2
ET0403,2023-02-01,544,13.4,23.7,56.7
ET0403,2023-03-01,544,61.7,66.2,93.3
ET0403,2023-04-01,544,162.8,106.4,153
ET0403,2023-05-01,544,245.8,226.5,108.6
ET0403,2023-06-01,544,295.1,255.1,115.7
ET0403,2023-07-01,544,315.4,264.9,119
ET0403,2023-08-01,544,296.5,277,107
ET0403,2023-09-01,544,331.4,249.5,132.8
ET0403,2023-10-01,544,240,160,150
ET0403,2023-11-01,544,155.7,52.3,298
ET0403,2023-12-01,544,20.9,23.8,88
ET0403,2024-01-01,544,22.7,20.8,109
ET0403,2024-02-01,544,58.2,23.7,245.8
ET0403,2024-03-01,544,89,66.2,134.5
ET0403,2024-04-01,544,80.7,106.4,75.8
ET0403,2024-05-01,544,177.2,226.5,78.3
ET0403,2024-06-01,544,248.5,255.1,97.4
ET0403,2024-07-01,544,286.5,264.9,108.1
ET0403,2024-08-01,544,259.5,277,93.7
ET0403,2024-09-01,544,287.5,249.5,115.2
ET0403,2024-10-01,544,226.4,160,141.4
ET0403,2024-11-01,544,72.3,52.3,138.4
ET0403,2024-12-01,544,13.1,23.8,55
ET0404,2019-01-01,601,9.4,29.3,32
ET0404,2019-02-01,601,56.6,37.4,151.6
ET0404,2019-03-01,601,141.9,89.8,157.9
ET0404,2019-04-01,601,202.3,128.1,157.9
ET0404,2019-05-01,601,203.1,189.8,107
ET0404,2019-06-01,601,318.7,237.3,134.3
ET0404,2019-07-01,601,324.7,280.3,115.9
ET0404,2019-08-01,601,320.7,262,122.4
ET0404,2019-09-01,601,184.6,202.6,91.1
ET0404,2019-10-01,601,170.3,118.6,143.5
ET0404,2019-11-01,601,118.2,43.4,272.5
ET0404,2019-12-01,601,28.5,28.8,99.1
ET0404,2020-01-01,601,32,29.3,109.2
ET0404,2020-02-01,601,51.9,37.4,138.8
ET0404,2020-03-01,601,110.4,89.8,122.9
ET0404,2020-04-01,601,139.1,128.1,108.6
ET0404,2020-05-01,601,190,189.8,100.1
ET0404,2020-06-01,601,238.9,237.3,100.7
ET0404,2020-07-01,601,269.5,280.3,96.2
ET0404,2020-08-01,601,271.1,262,103.5
ET0404,2020-09-01,601,250.9,202.6,123.8
ET0404,2020-10-01,601,97.6,118.6,82.2
ET0404,2020-11-01,601,37.8,43.4,87.1
ET0404,2020-12-01,601,17.5,28.8,60.6
ET0404,2021-01-01,601,19,29.3,64.7
ET0404,2021-02-01,601,46,37.4,123
ET0404,2021-03-01,601,31.6,89.8,35.1
ET0404,2021-04-01,601,139.8,128.1,109.1
ET0404,2021-05-01,601,242.7,189.8,127.9
ET0404,2021-06-01,601,247.3,237.3,104.2
ET0404,2021-07-01,601,277.3,280.3,98.9
ET0404,2021-08-01,601,263.8,262,100.7
ET0404,2021-09-01,601,248.8,202.6,122.8
ET0404,2021-10-01,601,110.4,118.6,93
ET0404,2021-11-01,601,27.1,43.4,62.4
ET0404,2021-12-01,601,31.9,28.8,110.9
ET0404,2022-01-01,601,39.8,29.3,135.7
ET0404,2022-02-01,601,30.2,37.4,80.8
ET0404,2022-03-01,601,62.4,89.8,69.5
ET0404,2022-04-01,601,170.2,128.1,132.9
ET0404,2022-05-01,601,157.6,189.8,83
ET0404,2022-06-01,601,237.9,237.3,100.3
ET0404,2022-07-01,601,260.3,280.3,92.9
ET0404,2022-08-01,601,271.4,262,103.6
ET0404,2022-09-01,601,212.4,202.6,104.8
ET0404,2022-10-01,601,172.6,118.6,145.5
ET0404,2022-11-01,601,41.2,43.4,95
ET0404,2022-12-01,601,47.6,28.8,165.4
ET0404,2023-01-01,601,12.5,29.3,42.6
ET0404,2023-02-01,601,24.7,37.4,66
ET0404,2023-03-01,601,155.3,89.8,172.9
ET0404,2023-04-01,601,192.8,128.1,150.5
ET0404,2023-05-01,601,227.9,189.8,120.1
ET0404,2023-06-01,601,228.1,237.3,96.1
ET0404,2023-07-01,601,255.2,280.3,91
ET0404,2023-08-01,601,248.6,262,94.9
ET0404,2023-09-01,601,275.4,202.6,135.9
ET0404,2023-10-01,601,206.8,118.6,174.3
ET0404,2023-11-01,601,107.1,43.4,247
ET0404,2023-12-01,601,18.2,28.8,63.4
ET0404,2024-01-01,601,38.5,29.3,131.1
ET0404,2024-02-01,601,95.9,37.4,256.6
ET0404,2024-03-01,601,106.9,89.8,119
ET0404,2024-04-01,601,141.4,128.1,110.4
ET0404,2024-05-01,601,157.2,189.8,82.8
ET0404,2024-06-01,601,227.8,237.3,96
ET0404,2024-07-01,601,344.1,280.3,122.8
ET0404,2024-08-01,601,247.3,262,94.4
ET0404,2024-09-01,601,227,202.6,112
ET0404,2024-10-01,601,219.5,118.6,185
ET0404,2024-11-01,601,NA,43.4,NA
ET0404,2024-12-01,601,15.4,28.8,53.4
ET0405,2019-01-01,502,7.3,16,45.7
ET0405,2019-02-01,502,33.1,25.1,131.7
ET0405,2019-03-01,502,76.7,63.2,121.3
ET0405,2019-04-01,502,136,80.9,168.1
ET0405,2019-05-01,502,106.7,116.5,91.6
ET0405,2019-06-01,502,NA,184.4,NA
ET0405,2019-07-01,502,309.6,285.9,108.3
ET0405,2019-08-01,502,288.9,281,102.8
ET0405,2019-09-01,502,219.6,157.6,139.4
ET0405,2019-10-01,502,73.8,45.8,161
ET0405,2019-11-01,502,44.1,16,276.1
ET0405,2019-12-01,502,8.7,10.4,83.3
ET0405,2020-01-01,502,12.2,16,76
ET0405,2020-02-01,502,19.8,25.1,78.9
ET0405,2020-03-01,502,99.5,63.2,157.4
ET0405,2020-04-01,502,137.7,80.9,170.2
ET0405,2020-05-01,502,105.6,116.5,90.6
ET0405,2020-06-01,502,162.8,184.4,88.3
ET0405,2020-07-01,502,287.5,285.9,100.6
ET0405,2020-08-01,502,357.3,281,127.2
ET0405,2020-09-01,502,207.2,157.6,131.5
ET0405,2020-10-01,502,34.8,45.8,76
ET0405,2020-11-01,502,11,16,68.6
ET0405,2020-12-01,502,6,10.4,57.3
ET0405,2021-01-01,502,9.4,16,58.9
ET0405,2021-02-01,502,NA,25.1,NA
ET0405,2021-03-01,502,22.2,63.2,35.1
ET0405,2021-04-01,502,88,80.9,108.8
ET0405,2021-05-01,502,137.8,116.5,118.3
ET0405,2021-06-01,502,139.7,184.4,75.8
ET0405,2021-07-01,502,305.4,285.9,106.8
ET0405,2021-08-01,502,309.3,281,110.1
ET0405,2021-09-01,502,168.5,157.6,106.9
ET0405,2021-10-01,502,68.8,45.8,150.1
ET0405,2021-11-01,502,11.7,16,73
ET0405,2021-12-01,502,8.6,10.4,83.1
ET0405,2022-01-01,502,25.9,16,161.4
ET0405,2022-02-01,502,11.7,25.1,46.7
ET0405,2022-03-01,502,52.1,63.2,82.4
ET0405,2022-04-01,502,70,80.9,86.5
ET0405,2022-05-01,502,63.3,116.5,54.3
ET0405,2022-06-01,502,199.6,184.4,108.2
ET0405,2022-07-01,502,281.2,285.9,98.4
ET0405,2022-08-01,502,286,281,101.8
ET0405,2022-09-01,502,167.6,157.6,106.4
ET0405,2022-10-01,502,55.3,45.8,120.6
ET0405,2022-11-01,502,14.8,16,92.4
ET0405,2022-12-01,502,14.9,10.4,143.1
ET0405,2023-01-01,502,8.6,16,53.4
ET0405,2023-02-01,502,11.1,25.1,44.3
ET0405,2023-03-01,502,130.8,63.2,206.8
ET0405,2023-04-01,502,161.4,80.9,199.6
ET0405,2023-05-01,502,150,116.5,128.8
ET0405,2023-06-01,502,190.1,184.4,103.1
ET0405,2023-07-01,502,281.2,285.9,98.4
ET0405,2023-08-01,502,260.9,281,92.9
ET0405,2023-09-01,502,197,157.6,125
ET0405,2023-10-01,502,38,45.8,83
ET0405,2023-11-01,502,19.5,16,121.8
ET0405,2023-12-01,502,6.3,10.4,60.8
ET0405,2024-01-01,502,20.3,16,126.7
ET0405,2024-02-01,502,54.2,25.1,215.7
ET0405,2024-03-01,502,75.3,63.2,119.1
ET0405,2024-04-01,502,90.1,80.9,111.4
ET0405,2024-05-01,502,78.6,116.5,67.5
ET0405,2024-06-01,502,173.6,184.4,94.1
ET0405,2024-07-01,502,280.9,285.9,98.3
ET0405,2024-08-01,502,314.4,281,111.9
ET0405,2024-09-01,502,170.7,157.6,108.3
ET0405,2024-10-01,502,92.6,45.8,202.2
ET0405,2024-11-01,502,18.1,16,113.2
ET0405,2024-12-01,502,5,10.4,48
ET0406,2019-01-01,368,5.8,12,48
ET0406,2019-02-01,368,16.6,21.9,75.8
ET0406,2019-03-01,368,48.2,50.2,95.9
ET0406,2019-04-01,368,88.9,63.1,140.8
ET0406,2019-05-01,368,73,70.3,103.9
ET0406,2019-06-01,368,118,106.4,111
ET0406,2019-07-01,368,327.7,300.4,109.1
ET0406,2019-08-01,368,280.2,289.5,96.8
ET0406,2019-09-01,368,233.6,111.6,209.3
ET0406,2019-10-01,368,58.7,22.4,262
ET0406,2019-11-01,368,25.7,9.7,264.9
ET0406,2019-12-01,368,9.1,6.8,132.4
ET0406,2020-01-01,368,6.8,12,56
ET0406,2020-02-01,368,13.5,21.9,61.8
ET0406,2020-03-01,368,85.3,50.2,169.8
ET0406,2020-04-01,368,115.6,63.1,183.1
ET0406,2020-05-01,368,83.2,70.3,118.4
ET0406,2020-06-01,368,101.7,106.4,95.7
ET0406,2020-07-01,368,314.1,300.4,104.6
ET0406,2020-08-01,368,369.4,289.5,127.6
ET0406,2020-09-01,368,151.6,111.6,135.9
ET0406,2020-10-01,368,18.5,22.4,82.7
ET0406,2020-11-01,368,5.8,9.7,59.8
ET0406,2020-12-01,368,4.3,6.8,62.3
ET0406,2021-01-01,368,7.3,12,61
ET0406,2021-02-01,368,19.5,21.9,89.3
ET0406,2021-03-01,368,30.2,50.2,60.1
ET0406,2021-04-01,368,80,63.1,126.7
ET0406,2021-05-01,368,NA,70.3,NA
ET0406,2021-06-01,368,68.9,106.4,64.8
ET0406,2021-07-01,368,327.9,300.4,109.2
ET0406,2021-08-01,368,315.2,289.5,108.9
ET0406,2021-09-01,368,135.8,111.6,121.7
ET0406,2021-10-01,368,33.8,22.4,150.8
ET0406,2021-11-01,368,5.3,9.7,54.4
ET0406,2021-12-01,368,4.8,6.8,69.8
ET0406,2022-01-01,368,13.9,12,115.6
ET0406,2022-02-01,368,11.3,21.9,51.6
ET0406,2022-03-01,368,39.5,50.2,78.6
ET0406,2022-04-01,368,37.5,63.1,59.4
ET0406,2022-05-01,368,22.2,70.3,31.6
ET0406,2022-06-01,368,170.7,106.4,160.5
ET0406,2022-07-01,368,294.4,300.4,98
ET0406,2022-08-01,368,278.8,289.5,96.3
ET0406,2022-09-01,368,124.6,111.6,111.6
ET0406,2022-10-01,368,23.6,22.4,105.4
ET0406,2022-11-01,368,4.5,9.7,46.2
ET0406,2022-12-01,368,7.8,6.8,113.6
ET0406,2023-01-01,368,6.3,12,52.7
ET0406,2023-02-01,368,9.5,21.9,43.6
ET0406,2023-03-01,368,120.7,50.2,240.2
ET0406,2023-04-01,368,110.3,63.1,174.8
ET0406,2023-05-01,368,131.9,70.3,187.8
ET0406,2023-06-01,368,117.9,106.4,110.8
ET0406,2023-07-01,368,337.1,300.4,112.2
ET0406,2023-08-01,368,254.4,289.5,87.9
ET0406,2023-09-01,368,158.4,111.6,142
ET0406,2023-10-01,368,13.5,22.4,60.5
ET0406,2023-11-01,368,9.4,9.7,96.3
ET0406,2023-12-01,368,4,6.8,58.8
ET0406,2024-01-01,368,13.1,12,108.9
ET0406,2024-02-01,368,40.5,21.9,185.4
ET0406,2024-03-01,368,65.1,50.2,129.6
ET0406,2024-04-01,368,63.8,63.1,101.1
ET0406,2024-05-01,368,41.7,70.3,59.4
ET0406,2024-06-01,368,125,106.4,117.5
ET0406,2024-07-01,368,318.3,300.4,105.9
ET0406,2024-08-01,368,313.6,289.5,108.3
ET0406,2024-09-01,368,122.5,111.6,109.8
ET0406,2024-10-01,368,45.4,22.4,202.9
ET0406,2024-11-01,368,13.5,9.7,138.7
ET0406,2024-12-01,368,3.9,6.8,56.7
ET0407,2019-01-01,425,6.8,15.8,43.2
ET0407,2019-02-01,425,13.4,30,44.7
ET0407,2019-03-01,425,44,60.6,72.7
ET0407,2019-04-01,425,91.5,74.9,122.1
ET0407,2019-05-01,425,71.1,69.9,101.7
ET0407,2019-06-01,425,78.8,81.8,96.3
ET0407,2019-07-01,425,199.6,183.5,108.8
ET0407,2019-08-01,425,152.8,179.3,85.3
ET0407,2019-09-01,425,155.1,95.7,162.1
ET0407,2019-10-01,425,69.3,33.5,206.8
ET0407,2019-11-01,425,29.9,12.6,237.3
ET0407,2019-12-01,425,9.9,7.5,132.5
ET0407,2020-01-01,425,11.5,15.8,72.7
ET0407,2020-02-01,425,18.1,30,60.3
ET0407,2020-03-01,425,74.8,60.6,123.6
ET0407,2020-04-01,425,114.6,74.9,153
ET0407,2020-05-01,425,79.7,69.9,113.9
ET0407,2020-06-01,425,88.4,81.8,108
ET0407,2020-07-01,425,214.1,183.5,116.7
ET0407,2020-08-01,425,230.7,179.3,128.7
ET0407,2020-09-01,425,109.7,95.7,114.7
ET0407,2020-10-01,425,34.9,33.5,104.2
ET0407,2020-11-01,425,9,12.6,71.5
ET0407,2020-12-01,425,5,7.5,67.1
ET0407,2021-01-01,425,9.9,15.8,62.3
ET0407,2021-02-01,425,17.8,30,59.4
ET0407,2021-03-01,425,24.6,60.6,40.7
ET0407,2021-04-01,425,78.6,74.9,104.9
ET0407,2021-05-01,425,81.7,69.9,116.9
ET0407,2021-06-01,425,46.6,81.8,57
ET0407,2021-07-01,425,174.9,183.5,95.3
ET0407,2021-08-01,425,174.8,179.3,97.5
ET0407,2021-09-01,425,106.9,95.7,111.8
ET0407,2021-10-01,425,52,33.5,155.2
ET0407,2021-11-01,425,12.6,12.6,99.6
ET0407,2021-12-01,425,5.6,7.5,74.7
ET0407,2022-01-01,425,21.7,15.8,137
ET0407,2022-02-01,425,17,30,56.5
ET0407,2022-03-01,425,33.6,60.6,55.6
ET0407,2022-04-01,425,42.4,74.9,56.5
ET0407,2022-05-01,425,19.9,69.9,28.5
ET0407,2022-06-01,425,96.4,81.8,117.9
ET0407,2022-07-01,425,143.5,183.5,78.2
ET0407,2022-08-01,425,159.7,179.3,89.1
ET0407,2022-09-01,425,125.2,95.7,130.9
ET0407,2022-10-01,425,35,33.5,104.5
ET0407,2022-11-01,425,14.9,12.6,118.6
ET0407,2022-12-01,425,8.2,7.5,110
ET0407,2023-01-01,425,9.9,15.8,62.2
ET0407,2023-02-01,425,13,30,43.2
ET0407,2023-03-01,425,137.5,60.6,227.1
ET0407,2023-04-01,425,90.4,74.9,120.7
ET0407,2023-05-01,425,96.1,69.9,137.4
ET0407,2023-06-01,425,79.2,81.8,96.8
ET0407,2023-07-01,425,185.6,183.5,101.1
ET0407,2023-08-01,425,127.4,179.3,71.1
ET0407,2023-09-01,425,150.1,95.7,156.9
ET0407,2023-10-01,425,37.6,33.5,112.2
ET0407,2023-11-01,425,24.3,12.6,192.6
ET0407,2023-12-01,425,4.4,7.5,58.9
ET0407,2024-01-01,425,11.6,15.8,73.3
ET0407,2024-02-01,425,45.5,30,151.6
ET0407,2024-03-01,425,114.9,60.6,189.8
ET0407,2024-04-01,425,104.6,74.9,139.7
ET0407,2024-05-01,425,57.4,69.9,82.1
ET0407,2024-06-01,425,91.2,81.8,111.4
ET0407,2024-07-01,425,262.8,183.5,143.2
ET0407,2024-08-01,425,162.1,179.3,90.4
ET0407,2024-09-01,425,83.5,95.7,87.3
ET0407,2024-10-01,425,67.4,33.5,201.3
ET0407,2024-11-01,425,24,12.6,190.4
ET0407,2024-12-01,425,4.1,7.5,54.9
ET0408,2019-01-01,775,8.6,18.8,45.8
ET0408,2019-02-01,775,16.7,29.4,57
ET0408,2019-03-01,775,38.8,73.1,53.1
ET0408,2019-04-01,775,109.4,117.1,93.4
ET0408,2019-05-01,775,95.5,91.6,104.3
ET0408,2019-06-01,775,117.1,83,141.2
ET0408,2019-07-01,775,192.6,148.7,129.5
ET0408,2019-08-01,775,142.8,161.7,88.3
ET0408,2019-09-01,775,162.7,116.4,139.8
ET0408,2019-10-01,775,166.5,70.5,236.4
ET0408,2019-11-01,775,42.6,21,202.6
ET0408,2019-12-01,775,15.4,12.1,127
ET0408,2020-01-01,775,18.8,18.8,99.9
ET0408,2020-02-01,775,16.2,29.4,55.2
ET0408,2020-03-01,775,102.4,73.1,140
ET0408,2020-04-01,775,170.8,117.1,145.8
ET0408,2020-05-01,775,89.3,91.6,97.6
ET0408,2020-06-01,775,109.3,83,131.7
ET0408,2020-07-01,775,193.1,148.7,129.9
ET0408,2020-08-01,775,216,161.7,133.6
ET0408,2020-09-01,775,124.6,116.4,107
ET0408,2020-10-01,775,57.4,70.5,81.4
ET0408,2020-11-01,775,12.2,21,58.1
ET0408,2020-12-01,775,8.3,12.1,68.6
ET0408,2021-01-01,775,10.7,18.8,57.1
ET0408,2021-02-01,775,17.3,29.4,59
ET0408,2021-03-01,775,25.8,73.1,35.2
ET0408,2021-04-01,775,109.9,117.1,93.8
ET0408,2021-05-01,775,95.5,91.6,104.3
ET0408,2021-06-01,775,50.9,83,61.3
ET0408,2021-07-01,775,151.9,148.7,102.1
ET0408,2021-08-01,775,149.8,161.7,92.6
ET0408,2021-09-01,775,130.6,116.4,112.2
ET0408,2021-10-01,775,84.5,70.5,119.9
ET0408,2021-11-01,775,13.9,21,66.2
ET0408,2021-12-01,775,6.2,12.1,51.3
ET0408,2022-01-01,775,17,18.8,90.5
ET0408,2022-02-01,775,12.6,29.4,43
ET0408,2022-03-01,775,43.8,73.1,59.9
ET0408,2022-04-01,775,70.6,117.1,60.3
ET0408,2022-05-01,775,26.1,91.6,28.5
ET0408,2022-06-01,775,86,83,103.6
ET0408,2022-07-01,775,144.8,148.7,97.4
ET0408,2022-08-01,775,136.3,161.7,84.3
ET0408,2022-09-01,775,134.8,116.4,115.9
ET0408,2022-10-01,775,76.3,70.5,108.3
